window,mean,median,std,iqr,start_index,class
window36,19.950000000000003,19.95,0.7401386415131077,1.075,3600,NOR
window37,20.020000000000003,20.0,0.8228682014568323,1.525,3700,NOR
window38,20.009999999999998,20.0,0.7073986880562589,1.0,3800,NOR
window39,19.9,19.75,0.8014770463630999,1.35,3900,NOR
window40,19.96,19.85,0.8189016737470309,1.475,4000,NOR
window41,20.169999999999998,20.2,0.7553115051834333,1.275,4100,NOR
window42,20.15,20.25,0.7712159113628614,1.15,4200,NOR
window43,20.07,20.15,0.7520392501120435,1.3,4300,NOR
window44,20.06,20.0,0.8226145878339464,1.525,4400,NOR
window45,19.97,19.75,0.6917160479919737,0.975,4500,NOR
window46,19.96,20.0,0.7807857960765594,1.35,4600,NOR
window47,19.8,19.6,0.7353955018575457,1.3,4700,NOR
window48,20.05,20.05,0.7999484991928522,1.35,4800,NOR
window49,20.060000000000002,20.15,0.803852850429849,1.475,4900,NOR
window50,19.869999999999997,19.7,0.820287434547104,1.625,5000,NOR
window51,20.0,19.95,0.8415076123333668,1.6,5100,NOR
window52,20.05,20.05,0.7964412177575425,1.4,5200,NOR
window53,19.98,19.95,0.7168101798062279,1.075,5300,NOR
window54,19.96,19.9,0.7822474094980132,1.125,5400,NOR
window55,19.98,20.0,0.7458354475085126,1.275,5500,NOR
window56,19.990000000000002,20.05,0.7475803873683744,1.3,5600,NOR
window57,19.83,19.75,0.7849769913419999,1.25,5700,NOR
window58,19.9,19.85,0.75979930329956,1.2,5800,NOR
window59,19.880000000000003,19.9,0.7296531267530912,1.275,5900,NOR
window60,3.63,3.5,2.457089987505591,3.85,6000,DEL
window61,4.0600000000000005,4.15,2.3536919414709083,3.425,6100,DEL
window62,3.6900000000000004,3.85,2.4090079908008346,3.75,6200,DEL
window63,4.45,4.7,2.4406322844838217,4.2,6300,DEL
window64,3.499999999999999,3.45,2.402325220004119,3.8,6400,DEL
window65,3.97,3.9,2.3831543616508237,3.725,6500,DEL
window66,3.8400000000000007,3.8,2.469075762412297,3.875,6600,DEL
window67,4.319999999999999,4.3,2.3074324678800044,3.575,6700,DEL
window68,4.12,4.3,2.204017737175896,3.2,6800,DEL
window69,3.9799999999999995,4.0,2.2215478789284524,3.625,6900,DEL
window70,4.0600000000000005,4.2,2.4188378575974476,3.95,7000,DEL
window71,3.8899999999999997,3.95,2.3837496406553194,3.5,7100,DEL
window72,4.05,4.0,2.524566273751655,3.95,7200,DEL
window73,3.8400000000000007,3.7,2.169811918804852,3.35,7300,DEL
window74,3.9699999999999998,4.1,2.2414765957629297,3.0,7400,DEL
window75,3.65,3.3,2.630918326999047,4.025,7500,DEL
window76,3.8,3.45,2.219548803151397,3.5,7600,DEL
window77,3.8800000000000003,3.35,2.5576085814374565,4.275,7700,DEL
window78,4.17,4.45,2.5062100096721336,4.025,7800,DEL
window79,3.75,3.55,2.4630574361555144,3.95,7900,DEL
window80,19.979999999999997,19.85,0.7940148928537446,1.275,8000,NOR
window81,19.91,20.0,0.7727601369345761,1.275,8100,NOR
window82,19.950000000000003,19.9,0.7475574156192138,1.125,8200,NOR
window83,20.07,20.05,0.7493850429091484,1.225,8300,NOR
window84,19.970000000000002,19.9,0.7622001385124113,1.225,8400,NOR
window85,19.910000000000004,19.95,0.8165637800801733,1.525,8500,NOR
window86,19.970000000000002,20.0,0.747733953639497,1.175,8600,NOR
window87,19.87,19.75,0.7220382409697749,1.0,8700,NOR
window88,20.049999999999997,20.15,0.7877207514311937,1.05,8800,NOR
window89,20.04,20.15,0.7491086076098015,1.075,8900,NOR
window90,20.130000000000003,20.15,0.7455296316812686,1.225,9000,NOR
window91,20.07,20.15,0.727060043860621,0.95,9100,NOR
window92,20.07,20.15,0.7376296786567761,1.3,9200,NOR
window93,20.009999999999998,19.95,0.7804427484121239,1.425,9300,NOR
window94,19.91,19.75,0.8365472266979646,1.625,9400,NOR
window95,20.04,20.15,0.7821180276693823,1.275,9500,NOR
window96,20.14,20.25,0.7519756923081643,1.2,9600,NOR
window97,19.990000000000002,19.95,0.7352751661672695,1.275,9700,NOR
window98,19.979999999999997,19.75,0.818535394576277,1.55,9800,NOR
window99,19.98,19.85,0.750119949122834,1.1,9900,NOR
window100,20.05,20.0,0.7598502302788408,1.2,10000,NOR
window101,20.0,20.0,0.7514875452820307,1.375,10100,NOR
window102,20.059999999999995,20.05,0.7877060003367118,1.325,10200,NOR
window103,19.830000000000002,19.75,0.7098511354182557,1.0,10300,NOR
window104,20.11,20.15,0.7146435276729908,1.075,10400,NOR
window105,20.06,19.95,0.741247317311833,0.975,10500,NOR
window106,20.169999999999998,20.45,0.7621067082662666,1.35,10600,NOR
window107,19.89,19.9,0.7528317116881407,1.125,10700,NOR
window108,19.979999999999997,19.95,0.7640181040149807,1.3,10800,NOR
window109,19.979999999999997,19.9,0.7785690105293321,1.3,10900,NOR
window110,20.009999999999998,20.1,0.7645409728966241,1.225,11000,NOR
window111,20.02,19.9,0.7656467812607735,1.275,11100,NOR
window112,20.15,20.15,0.7315953555870561,1.1,11200,NOR
window113,19.97,19.8,0.7379370284709437,1.1,11300,NOR
window114,20.169999999999998,20.3,0.7598591197120889,1.1,11400,NOR
window115,20.0,19.9,0.7919062361045895,1.125,11500,NOR
window116,20.03,20.0,0.7617806121911143,1.375,11600,NOR
window117,20.150000000000002,20.3,0.7808757648111496,1.25,11700,NOR
window118,19.929999999999996,19.7,0.7318646578013634,1.075,11800,NOR
window119,20.009999999999998,20.1,0.7609993820328097,1.2,11900,NOR
window120,20.0,19.9,0.7719910011458238,1.175,12000,NOR
window121,19.88,19.65,0.8047611015904094,1.35,12100,NOR
window122,19.97,19.95,0.7703452811147928,1.3,12200,NOR
window123,20.009999999999998,19.95,0.8007079532457301,1.425,12300,NOR
window124,20.11,20.2,0.7735437691391234,1.125,12400,NOR
window125,19.96,19.85,0.7615779087578549,1.35,12500,NOR
window126,20.059999999999995,20.0,0.8124520398385405,1.5,12600,NOR
window127,19.880000000000003,19.75,0.7832150950974464,1.35,12700,NOR
window128,19.970000000000002,19.95,0.7397404863438035,1.0,12800,NOR
window129,20.13,20.1,0.7817477795469886,1.3,12900,NOR
window130,20.019999999999996,20.05,0.8054528678247047,1.475,13000,NOR
window131,20.07,19.95,0.7612313381790577,1.25,13100,NOR
window132,20.03,19.95,0.7685108408528986,1.15,13200,NOR
window133,20.06,20.2,0.7432117574641924,1.05,13300,NOR
window134,19.98,20.0,0.7317322830478604,1.2,13400,NOR
window135,19.88,19.8,0.8056207291858684,1.4,13500,NOR
window136,19.919999999999998,19.95,0.7981014991803975,1.375,13600,NOR
window137,20.029999999999994,19.95,0.7459643409994435,1.25,13700,NOR
window138,19.89,19.8,0.7875751866659207,1.3,13800,NOR
window139,20.1,20.1,0.7502066957256581,1.175,13900,NOR
window140,20.16,20.3,0.743092695766916,1.175,14000,NOR
window141,19.970000000000002,19.95,0.8340193875617118,1.5,14100,NOR
window142,19.93,19.8,0.7405043715289339,1.275,14200,NOR
window143,19.94,19.85,0.7395423914540418,1.1,14300,NOR
window144,19.979999999999997,20.0,0.8092394708755721,1.325,14400,NOR
window145,20.06,20.05,0.774097537859147,1.325,14500,NOR
window146,19.830000000000002,19.75,0.7530580411781004,1.1,14600,NOR
window147,20.090000000000003,20.1,0.6864160004915721,1.025,14700,NOR
window148,19.94,19.9,0.7628827494616788,1.225,14800,NOR
window149,19.969999999999995,20.05,0.7913923530016064,1.25,14900,NOR
window150,306.03000000000003,297.9,115.15815340485753,170.8,15000,DUP
window151,305.26000000000005,315.3,118.04903382846206,182.275,15100,DUP
window152,300.61,301.1,109.08318932689023,162.475,15200,DUP
window153,314.0,307.3,108.02750564939606,166.225,15300,DUP
window154,309.24,315.1,114.68609300740847,185.75,15400,DUP
window155,317.22,312.5,111.7582390114562,171.45,15500,DUP
window156,309.36,311.85,113.66454573770083,177.825,15600,DUP
window157,301.95,302.95,98.5852614080593,145.85,15700,DUP
window158,319.85,313.25,106.28706806832334,156.05,15800,DUP
window159,304.33000000000004,312.6,119.64836488916117,202.325,15900,DUP
window160,280.49,286.75,109.7310335129713,152.425,16000,DUP
window161,294.96999999999997,294.2,113.09021897704437,173.925,16100,DUP
window162,297.50000000000006,293.55,110.13022647731887,149.875,16200,DUP
window163,323.71,319.85,95.20601434716615,138.8,16300,DUP
window164,293.58000000000004,290.15,100.48150662664987,162.15,16400,DUP
window165,312.69,314.25,107.17782881035464,150.75,16500,DUP
window166,336.52,337.5,106.46374136496259,168.425,16600,DUP
window167,291.37,272.8,113.62027982541079,184.525,16700,DUP
window168,311.15,317.6,97.77277002267572,129.875,16800,DUP
window169,308.52,310.5,107.97929716703277,176.925,16900,DUP
window170,19.990000000000002,19.9,0.8228162953660465,1.425,17000,NOR
window171,20.06,20.05,0.8522347573391305,1.65,17100,NOR
window172,19.97,20.0,0.7910837649674287,1.25,17200,NOR
window173,20.1,19.9,0.7954560586370946,1.425,17300,NOR
window174,20.13,20.25,0.8004759589386792,1.45,17400,NOR
window175,19.990000000000002,20.0,0.7368654984393043,1.25,17500,NOR
window176,19.900000000000002,19.8,0.7890688127075091,1.225,17600,NOR
window177,20.14,20.3,0.8320343154489963,1.45,17700,NOR
window178,19.890000000000004,19.8,0.7444937834913008,1.15,17800,NOR
window179,19.94,19.9,0.7825279587858761,1.4,17900,NOR
window180,20.009999999999998,20.05,0.7902236850783779,1.325,18000,NOR
window181,19.9,19.95,0.805595734693837,1.425,18100,NOR
window182,20.03,20.0,0.7415639702648346,1.15,18200,NOR
window183,20.17,20.2,0.7301552770976159,1.075,18300,NOR
window184,19.919999999999998,20.0,0.7657375401632635,1.15,18400,NOR
window185,20.060000000000002,19.95,0.7568432158663128,1.225,18500,NOR
window186,20.1,20.2,0.7718181072009871,1.25,18600,NOR
window187,20.030000000000005,20.0,0.7506982686665091,1.25,18700,NOR
window188,20.08,20.25,0.7430176873808061,1.15,18800,NOR
window189,20.110000000000003,20.05,0.7569747564509246,1.225,18900,NOR
window190,20.0,20.0,0.7803026696984535,1.325,19000,NOR
window191,20.009999999999998,19.9,0.7863642405973088,1.25,19100,NOR
window192,20.009999999999998,19.95,0.7086828700938048,1.1,19200,NOR
window193,19.919999999999998,19.8,0.755080484948593,1.25,19300,NOR
window194,20.060000000000002,20.0,0.7377671051681818,1.2,19400,NOR
window195,20.05,20.2,0.7754378640942698,1.425,19500,NOR
window196,19.970000000000002,19.95,0.8058030802669789,1.45,19600,NOR
window197,20.049999999999997,20.1,0.76518123516783,1.2,19700,NOR
window198,20.009999999999998,19.9,0.7396004917459186,1.175,19800,NOR
window199,19.990000000000002,19.9,0.7774050825789658,1.3,19900,NOR
window200,20.13,20.2,0.7726646043499039,1.175,20000,NOR
window201,20.05,20.05,0.7992752024590775,1.375,20100,NOR
window202,20.03,20.15,0.7669986280885694,1.2,20200,NOR
window203,19.87,19.8,0.787511420119883,1.375,20300,NOR
window204,19.96,19.8,0.8112630904887205,1.55,20400,NOR
window205,20.04,20.15,0.7985145026458831,1.4,20500,NOR
window206,20.05,20.0,0.7901216132806087,1.225,20600,NOR
window207,20.09,20.1,0.7213715759971572,1.25,20700,NOR
window208,20.020000000000003,19.95,0.8238396930609044,1.45,20800,NOR
window209,19.95,19.95,0.7584271010672342,1.25,20900,NOR
window210,20.009999999999998,20.15,0.7727913250252647,1.275,21000,NOR
window211,20.07,20.2,0.7715685995089732,1.225,21100,NOR
window212,19.99,20.0,0.7377702929589646,1.125,21200,NOR
window213,20.18,20.2,0.7055276964908751,1.125,21300,NOR
window214,19.89,19.9,0.7247728650433679,1.05,21400,NOR
window215,20.02,20.05,0.7479722910044739,1.15,21500,NOR
window216,20.119999999999997,20.3,0.7143045986113646,1.0,21600,NOR
window217,20.15,20.2,0.7198060119135559,0.925,21700,NOR
window218,19.939999999999998,19.95,0.6711958497517297,0.9,21800,NOR
window219,20.06,20.1,0.7843283450308542,1.275,21900,NOR
window220,19.97,19.9,0.7716812191835801,1.025,22000,NOR
window221,20.009999999999998,19.95,0.7812823587536062,1.25,22100,NOR
window222,19.880000000000003,19.9,0.783881017136453,1.2,22200,NOR
window223,19.970000000000002,19.95,0.8589679963577727,1.675,22300,NOR
window224,20.04,19.95,0.8437472169797399,1.625,22400,NOR
window225,19.830000000000002,19.75,0.7368422500879095,1.2,22500,NOR
window226,20.03,19.95,0.7911250206347246,1.4,22600,NOR
window227,20.099999999999998,20.3,0.8330097779041686,1.475,22700,NOR
window228,19.939999999999998,19.95,0.7852345929122537,1.375,22800,NOR
window229,20.069999999999997,20.2,0.7858051010825144,1.275,22900,NOR
window230,20.070000000000004,20.25,0.7920979206638247,1.325,23000,NOR
window231,20.13,20.3,0.7684937138841589,1.35,23100,NOR
window232,20.05,20.05,0.8185322895944106,1.55,23200,NOR
window233,19.890000000000004,20.0,0.7744406186592034,1.425,23300,NOR
window234,19.93,20.0,0.7681011550647814,1.275,23400,NOR
window235,20.02,20.0,0.8002305259728539,1.425,23500,NOR
window236,19.939999999999998,19.75,0.8180455788684349,1.425,23600,NOR
window237,19.909999999999997,20.05,0.7475096949570902,1.25,23700,NOR
window238,19.95,19.95,0.7671139513830262,1.4,23800,NOR
window239,19.93,20.0,0.8043581148541499,1.375,23900,NOR
window240,19.91,19.95,0.6892925087601475,1.3,24000,NOR
window241,19.94,19.95,0.7446848069072567,1.2,24100,NOR
window242,20.059999999999995,20.1,0.7751862862354355,1.3,24200,NOR
window243,19.889999999999997,19.8,0.7399488614304424,1.05,24300,NOR
window244,19.91,19.85,0.8015267636500762,1.5,24400,NOR
window245,19.990000000000002,20.0,0.7778834114965422,1.275,24500,NOR
window246,19.94,19.85,0.8225087074586488,1.45,24600,NOR
window247,20.12,20.2,0.8106852650730157,1.425,24700,NOR
window248,19.94,19.95,0.7882705581017075,1.35,24800,NOR
window249,19.990000000000002,19.95,0.6839877646537749,1.075,24900,NOR
window250,19.9,19.85,0.7656311463599922,1.075,25000,NOR
window251,20.06,19.95,0.8061970994515668,1.45,25100,NOR
window252,20.040000000000003,20.05,0.6829941212638995,0.75,25200,NOR
window253,20.15,20.1,0.7011185589773835,1.075,25300,NOR
window254,20.17,20.35,0.7609869369131146,1.225,25400,NOR
window255,19.89,19.9,0.7509890825785546,1.325,25500,NOR
window256,19.979999999999997,20.0,0.688436732108278,0.975,25600,NOR
window257,19.94,19.95,0.7417730037372243,1.275,25700,NOR
window258,20.110000000000003,20.1,0.7587237325477669,1.175,25800,NOR
window259,19.970000000000002,19.9,0.7971779256722489,1.15,25900,NOR
window260,19.96,20.05,0.7350345094744529,1.15,26000,NOR
window261,19.95,19.8,0.8036779074049644,1.5,26100,NOR
window262,20.02,20.05,0.7476707672338051,1.05,26200,NOR
window263,19.94,19.9,0.7373700415739267,1.1,26300,NOR
window264,19.84,19.9,0.7893820903950681,1.275,26400,NOR
window265,20.03,19.95,0.7951025740150494,1.425,26500,NOR
window266,19.95,19.8,0.779955419849504,1.325,26600,NOR
window267,19.979999999999997,20.0,0.7968768434801874,1.25,26700,NOR
window268,19.84,19.6,0.7848555980137525,1.3,26800,NOR
window269,20.009999999999998,20.1,0.708950059244486,0.975,26900,NOR
window270,20.05,20.15,0.7334199237343552,1.05,27000,NOR
window271,20.02,20.0,0.7560565609169487,1.075,27100,NOR
window272,19.9,19.8,0.8098218718846188,1.375,27200,NOR
window273,19.919999999999995,20.05,0.7309034528253752,1.05,27300,NOR
window274,20.02,20.05,0.7228730241265268,0.875,27400,NOR
window275,19.949999999999996,19.8,0.7886505042977955,1.4,27500,NOR
window276,20.13,20.15,0.6911104377138633,0.9,27600,NOR
window277,19.92,19.9,0.7760268210383833,1.35,27700,NOR
window278,20.08,20.15,0.8216162122724112,1.4,27800,NOR
window279,19.880000000000003,19.75,0.7977084371261747,1.4,27900,NOR
window280,20.08,20.05,0.7795334318842114,1.375,28000,NOR
window281,19.919999999999998,19.8,0.819473096868002,1.425,28100,NOR
window282,20.1,20.2,0.8068373027600264,1.4,28200,NOR
window283,19.9,19.85,0.7753434267135643,1.3,28300,NOR
window284,19.88,19.85,0.7458823193106296,1.0,28400,NOR
window285,20.11,20.2,0.7785844522078478,1.225,28500,NOR
window286,20.0,19.95,0.7731734692326488,1.3,28600,NOR
window287,19.96,20.0,0.7974449994924331,1.25,28700,NOR
window288,20.27,20.45,0.739869342991317,1.275,28800,NOR
window289,19.99,19.95,0.7666901007108222,1.375,28900,NOR
window290,19.9,19.85,0.8182252306346408,1.4,29000,NOR
window291,19.990000000000002,20.0,0.7627832088815607,1.275,29100,NOR
window292,19.999999999999996,20.1,0.7853627236485596,1.325,29200,NOR
window293,20.09,20.25,0.7803209816092579,1.35,29300,NOR
window294,20.01,20.05,0.7935878261617508,1.225,29400,NOR
window295,19.93,19.95,0.7624473609080541,1.325,29500,NOR
window296,20.130000000000003,20.25,0.7735920769519259,1.2,29600,NOR
window297,19.99,20.0,0.7304526614840324,1.0,29700,NOR
window298,20.020000000000003,19.95,0.7433261412335173,1.025,29800,NOR
window299,19.950000000000003,20.05,0.7389027150583745,1.2,29900,NOR
window300,3.63,3.5,2.457089987505591,3.85,30000,DEL
window301,4.0600000000000005,4.15,2.3536919414709083,3.425,30100,DEL
window302,3.6900000000000004,3.85,2.4090079908008346,3.75,30200,DEL
window303,4.45,4.7,2.4406322844838217,4.2,30300,DEL
window304,3.499999999999999,3.45,2.402325220004119,3.8,30400,DEL
window305,3.97,3.9,2.3831543616508237,3.725,30500,DEL
window306,3.8400000000000007,3.8,2.469075762412297,3.875,30600,DEL
window307,4.319999999999999,4.3,2.3074324678800044,3.575,30700,DEL
window308,4.12,4.3,2.204017737175896,3.2,30800,DEL
window309,3.9799999999999995,4.0,2.2215478789284524,3.625,30900,DEL
window310,4.0600000000000005,4.2,2.4188378575974476,3.95,31000,DEL
window311,3.8899999999999997,3.95,2.3837496406553194,3.5,31100,DEL
window312,4.05,4.0,2.524566273751655,3.95,31200,DEL
window313,3.8400000000000007,3.7,2.169811918804852,3.35,31300,DEL
window314,3.9699999999999998,4.1,2.2414765957629297,3.0,31400,DEL
window315,3.65,3.3,2.630918326999047,4.025,31500,DEL
window316,3.8,3.45,2.219548803151397,3.5,31600,DEL
window317,3.8800000000000003,3.35,2.5576085814374565,4.275,31700,DEL
window318,4.17,4.45,2.5062100096721336,4.025,31800,DEL
window319,3.75,3.55,2.4630574361555144,3.95,31900,DEL
window320,19.91,20.0,0.753712260291761,1.25,32000,NOR
window321,19.95,19.9,0.8085747853379941,1.325,32100,NOR
window322,20.119999999999997,20.3,0.7424985676094236,1.275,32200,NOR
window323,19.979999999999997,20.05,0.7676590528490433,1.15,32300,NOR
window324,19.91,20.0,0.7491701569965491,1.35,32400,NOR
window325,20.14,20.2,0.7289453234686374,1.2,32500,NOR
window326,20.029999999999998,20.05,0.8486330183688343,1.7,32600,NOR
window327,20.000000000000004,19.95,0.7764699698089343,1.15,32700,NOR
window328,19.98,20.0,0.7678863320154273,1.4,32800,NOR
window329,19.95,20.0,0.764737083750537,1.2,32900,NOR
window330,20.03,20.0,0.7387994150733418,0.95,33000,NOR
window331,19.88,19.7,0.727950983360931,1.275,33100,NOR
window332,19.910000000000004,19.9,0.7855348813914833,1.25,33200,NOR
window333,20.009999999999998,20.0,0.82801462687987,1.6,33300,NOR
window334,19.779999999999998,19.65,0.6232734893126431,0.725,33400,NOR
window335,19.970000000000002,19.9,0.796660311327784,1.225,33500,NOR
window336,20.06,20.05,0.7638930032719822,1.2,33600,NOR
window337,19.98,20.05,0.7703585232531882,1.25,33700,NOR
window338,20.09,20.2,0.7445045677593806,0.95,33800,NOR
window339,19.87,19.7,0.7860268028629832,1.225,33900,NOR
window340,20.05,19.9,0.7355405297709264,1.175,34000,NOR
window341,20.060000000000002,20.1,0.778988183097274,1.325,34100,NOR
window342,20.020000000000003,20.15,0.795622357470648,1.425,34200,NOR
window343,19.990000000000002,19.95,0.7983116515799278,1.55,34300,NOR
window344,20.0,20.0,0.7741401492397741,1.225,34400,NOR
window345,19.999999999999996,20.0,0.7818674996536565,1.3,34500,NOR
window346,19.970000000000002,19.95,0.8026091794398773,1.35,34600,NOR
window347,19.94,19.85,0.7966220411610326,1.425,34700,NOR
window348,20.04,20.25,0.7035321090495201,1.125,34800,NOR
window349,19.939999999999998,19.9,0.7698105926904092,1.5,34900,NOR
window350,20.01,20.0,0.8100252446779808,1.425,35000,NOR
window351,20.020000000000003,20.0,0.7680981783126473,1.325,35100,NOR
window352,19.990000000000002,20.0,0.807203518069431,1.4,35200,NOR
window353,20.07,19.95,0.7011340294797583,0.95,35300,NOR
window354,19.97,20.0,0.736786259689254,1.05,35400,NOR
window355,20.009999999999998,19.95,0.7676634985492494,1.375,35500,NOR
window356,20.06,20.05,0.7462843376073052,1.3,35600,NOR
window357,20.05,20.05,0.7786159262510863,1.3,35700,NOR
window358,20.02,20.15,0.7217362557011537,1.25,35800,NOR
window359,19.979999999999997,19.85,0.7870409700740251,1.35,35900,NOR
window360,19.96,20.05,0.7466806678709068,1.2,36000,NOR
window361,19.9,19.95,0.7559346811538944,1.125,36100,NOR
window362,19.89,19.95,0.8041530954422699,1.5,36200,NOR
window363,20.05,19.95,0.7699624444181589,1.325,36300,NOR
window364,20.009999999999998,20.0,0.7964002098459739,1.25,36400,NOR
window365,20.1,20.1,0.7502091391560112,1.125,36500,NOR
window366,20.07,20.2,0.7809253106898891,1.325,36600,NOR
window367,20.02,20.0,0.800913223711438,1.475,36700,NOR
window368,20.130000000000003,20.2,0.7174550273482256,1.225,36800,NOR
window369,20.000000000000004,19.95,0.7584429757375277,1.175,36900,NOR
window370,19.94,19.9,0.7344791915174222,1.175,37000,NOR
window371,19.98,19.95,0.6805637824920823,1.1,37100,NOR
window372,20.01,19.95,0.780791229137564,1.35,37200,NOR
window373,20.08,20.15,0.8089419137889372,1.475,37300,NOR
window374,20.04,20.1,0.7670497720654614,1.325,37400,NOR
window375,19.85,19.65,0.7457604691394888,1.1,37500,NOR
window376,20.080000000000002,20.25,0.8057984037498034,1.4,37600,NOR
window377,20.01,20.1,0.8522786295623221,1.625,37700,NOR
window378,20.04,20.1,0.7727370458569014,1.2,37800,NOR
window379,19.94,20.0,0.788881393130586,1.375,37900,NOR
window380,19.98,20.0,0.8142346884047518,1.575,38000,NOR
window381,19.880000000000003,19.9,0.7703586325760166,1.175,38100,NOR
window382,20.02,20.05,0.7886697568501143,1.275,38200,NOR
window383,20.049999999999997,19.8,0.763484042126539,1.375,38300,NOR
window384,20.04,20.1,0.778170855360028,1.325,38400,NOR
window385,20.0,20.0,0.7723211395459981,1.3,38500,NOR
window386,20.0,19.95,0.7765150645206961,1.25,38600,NOR
window387,19.93,20.05,0.7456006361087614,1.075,38700,NOR
window388,19.94,19.9,0.7584946534865683,1.2,38800,NOR
window389,20.02,20.05,0.8222561989166721,1.5,38900,NOR
window390,20.07,20.15,0.7843944087580722,1.45,39000,NOR
window391,20.080000000000002,20.25,0.7297444745637637,1.225,39100,NOR
window392,20.009999999999998,20.0,0.7977315697717335,1.275,39200,NOR
window393,19.9,19.85,0.7987392097132294,1.425,39300,NOR
window394,20.110000000000003,20.1,0.7814801759362018,1.05,39400,NOR
window395,20.13,20.2,0.7814660454664395,1.3,39500,NOR
window396,20.11,20.2,0.7407924603781353,1.175,39600,NOR
window397,19.979999999999997,20.0,0.7021151926063214,0.85,39700,NOR
window398,19.96,19.95,0.7739628034354562,1.25,39800,NOR
window399,20.020000000000003,19.95,0.7169762165467083,0.925,39900,NOR
window400,19.929999999999996,19.8,0.7408188434928747,1.025,40000,NOR
window401,19.97,19.95,0.7790521468847895,1.3,40100,NOR
window402,19.94,19.9,0.6946707712930165,1.025,40200,NOR
window403,19.979999999999997,20.0,0.7708818205733124,1.325,40300,NOR
window404,20.06,20.15,0.8006893083591204,1.375,40400,NOR
window405,19.95,19.85,0.7516363025228945,1.325,40500,NOR
window406,19.98,20.05,0.7490118708443101,1.2,40600,NOR
window407,20.080000000000002,20.0,0.7319365090823695,1.225,40700,NOR
window408,19.979999999999997,19.9,0.7293237666991658,1.1,40800,NOR
window409,20.01,20.0,0.7969548642195237,1.35,40900,NOR
window410,19.96,19.95,0.8021551277396615,1.325,41000,NOR
window411,20.119999999999997,20.1,0.7800717958141788,1.275,41100,NOR
window412,19.85,19.75,0.7526077377635906,1.275,41200,NOR
window413,19.93,19.95,0.7560930437620431,1.275,41300,NOR
window414,19.970000000000002,20.05,0.7557948505643963,1.125,41400,NOR
window415,20.05,20.05,0.7961779626510047,1.475,41500,NOR
window416,20.09,20.2,0.7078151955617852,0.9,41600,NOR
window417,20.009999999999998,20.1,0.7434884033754992,1.1,41700,NOR
window418,20.060000000000002,20.15,0.7697045588259345,1.25,41800,NOR
window419,19.890000000000004,19.8,0.7883063999551095,1.325,41900,NOR
window420,20.009999999999998,20.05,0.7318394883234235,1.1,42000,NOR
window421,20.029999999999998,19.95,0.7566108829442126,1.225,42100,NOR
window422,19.85,19.8,0.708935056303155,1.0,42200,NOR
window423,20.03,20.0,0.7273506442198049,1.275,42300,NOR
window424,20.140000000000004,20.15,0.6927131944305418,0.875,42400,NOR
window425,19.96,20.05,0.7851280400168953,1.275,42500,NOR
window426,19.93,19.75,0.7372367697959399,1.25,42600,NOR
window427,19.950000000000003,20.0,0.7286863768914806,0.9,42700,NOR
window428,19.9,19.85,0.7958966384507125,1.4,42800,NOR
window429,19.93,19.75,0.7990113737660086,1.325,42900,NOR
